infinitive_spanish,infinitive_english,mood_spanish,mood_english,tense_spanish,tense_english,form_1ps_spanish,form_1ps_english,form_2ps_spanish,form_2ps_english,form_3ps_spanish,form_3ps_english,form_1pp_spanish,form_1pp_english,form_2pp_spanish,form_2pp_english,form_3pp_spanish,form_3pp_english,gerund_spanish,gerund_english,past_participle_spanish,past_participle_english
adivinar,"to guess, fortell, prophesy; to guess correctly",subjuntivo,subjunctive,pluscuamperfecto,past perfect,hubiera adivinado,I had guessed,hubieras adivinado,you had guessed,hubiera adivinado,he/she had guessed,hubiéramos adivinado,we had guessed,hubierais adivinado,you had guessed,hubieran adivinado,they had guessed,adivinando,guessing,adivinado,guessed
adivinar,"to guess, fortell, prophesy; to guess correctly",imperativo_afirmativo,imperative_affirmative,presente,present,,,adivina,Guess!,adivinad,,,,adivine,,adivinen,,adivinando,guessing,adivinado,guessed
adivinar,"to guess, fortell, prophesy; to guess correctly",imperativo_negativo,imperative_negative,presente,present,,,no adivines,Don't guess!,no adivinéis,,,,no adivine,,no adivinen,,adivinando,guessing,adivinado,guessed
admirar,"to admire, respect, look up to",indicativo,indicative,presente,present,admiro,"I admire, am admiring",admiras,"you admire, are admiring",admira,"he/she admire, is admiring",admiramos,"we admire, are admiring",admiráis,"you admire, are admiring",admiran,"they admire, are admiring",admirando,admiring,admirado,admired
admirar,"to admire, respect, look up to",indicativo,indicative,futuro,future,admiraré,I will admire,admirarás,you will admire,admirará,he/she will admire,admiraremos,we will admire,admiraréis,you will admire,admirarán,they will admire,admirando,admiring,admirado,admired
admirar,"to admire, respect, look up to",indicativo,indicative,imperfecto,imperfect,admiraba,"I was admiring, used to admire, admired",admirabas,"you were admiring, used to admire, admired",admiraba,"he/she was admiring, used to admire, admired",admirábamos,"we were admiring, used to admire, admired",admirabais,"you were admiring, used to admire, admired",admiraban,"they were admiring, used to admire, admired",admirando,admiring,admirado,admired
admirar,"to admire, respect, look up to",indicativo,indicative,pretérito,preterite,admiré,I admired,admiraste,you admired,admiró,he/she admired,admiramos,we admired,admirasteis,you admired,admiraron,they admired,admirando,admiring,admirado,admired
admirar,"to admire, respect, look up to",indicativo,indicative,condicional,conditional,admiraría,I would admire,admirarías,you would admire,admiraría,he/she would admire,admiraríamos,we would admire,admiraríais,you would admire,admirarían,they would admire,admirando,admiring,admirado,admired
admirar,"to admire, respect, look up to",indicativo,indicative,presente perfecto,present perfect,he admirado,I have admired,has admirado,you have admired,ha admirado,he/she has admired,hemos admirado,we have admired,habéis admirado,you have admired,han admirado,they have admired,admirando,admiring,admirado,admired
admirar,"to admire, respect, look up to",indicativo,indicative,futuro perfecto,future perfect,habré admirado,I will have admired,habrás admirado,you will have admired,habrá admirado,he/she will has admired,habremos admirado,we will have admired,habréis admirado,you will have admired,habrán admirado,they will have admired,admirando,admiring,admirado,admired
admirar,"to admire, respect, look up to",indicativo,indicative,pluscuamperfecto,past perfect,había admirado,I had admired,habías admirado,you had admired,había admirado,he/she had admired,habíamos admirado,we had admired,habíais admirado,you had admired,habían admirado,they had admired,admirando,admiring,admirado,admired
admirar,"to admire, respect, look up to",indicativo,indicative,pretérito anterior,preterite (archaic),hube admirado,I had admired,hubiste admirado,you had admired,hubo admirado,he/she had admired,hubimos admirado,we had admired,hubisteis admirado,you had admired,hubieron admirado,they had admired,admirando,admiring,admirado,admired
admirar,"to admire, respect, look up to",indicativo,indicative,condicional perfecto,conditional perfect,habría admirado,I would have admired,habrías admirado,you would have admired,habría admirado,he/she would has admired,habríamos admirado,we would have admired,habríais admirado,you would have admired,habrían admirado,they would have admired,admirando,admiring,admirado,admired
admirar,"to admire, respect, look up to",subjuntivo,subjunctive,presente,present,admire,"I admire, am admiring",admires,"you admire, are admiring",admire,"he/she admire, is admiring",admiremos,"we admire, are admiring",admiréis,"you admire, are admiring",admiren,"they admire, are admiring",admirando,admiring,admirado,admired
admirar,"to admire, respect, look up to",subjuntivo,subjunctive,imperfecto,imperfect,admirara,"I admired, was admiring",admiraras,"you admired, were admiring",admirara,"he/she admired, was admiring",admiráramos,"we admired, were admiring",admirarais,"you admired, were admiring",admiraran,"they admired, were admiring",admirando,admiring,admirado,admired
admirar,"to admire, respect, look up to",subjuntivo,subjunctive,futuro,future,admirare,I will admire,admirares,you will admire,admirare,he/she will admire,admiráremos,we will admire,admirareis,you will admire,admiraren,they will admire,admirando,admiring,admirado,admired
admirar,"to admire, respect, look up to",subjuntivo,subjunctive,presente perfecto,present perfect,haya admirado,"I have admired, admired",hayas admirado,"you have admired, admired",haya admirado,"he/she has admired, admired",hayamos admirado,"we have admired, admired",hayáis admirado,"you have admired, admired",hayan admirado,"they have admired, admired",admirando,admiring,admirado,admired
admirar,"to admire, respect, look up to",subjuntivo,subjunctive,futuro perfecto,future perfect,hubiere admirado,I will have admired,hubieres admirado,you will have admired,hubiere admirado,he/she will has admired,hubiéremos admirado,we will have admired,hubiereis admirado,you will have admired,hubieren admirado,they will have admired,admirando,admiring,admirado,admired
admirar,"to admire, respect, look up to",subjuntivo,subjunctive,pluscuamperfecto,past perfect,hubiera admirado,I had admired,hubieras admirado,you had admired,hubiera admirado,he/she had admired,hubiéramos admirado,we had admired,hubierais admirado,you had admired,hubieran admirado,they had admired,admirando,admiring,admirado,admired
admirar,"to admire, respect, look up to",imperativo_afirmativo,imperative_affirmative,presente,present,,,admira,Admire!,admirad,,,,admire,,admiren,,admirando,admiring,admirado,admired
admirar,"to admire, respect, look up to",imperativo_negativo,imperative_negative,presente,present,,,no admires,Don't admire!,no admiréis,,,,no admire,,no admiren,,admirando,admiring,admirado,admired
admitir,"to admit, accept, allow, recognize",indicativo,indicative,presente,present,admito,"I admit, am admitting",admites,"you admit, are admitting",admite,"he/she admit, is admitting",admitimos,"we admit, are admitting",admitís,"you admit, are admitting",admiten,"they admit, are admitting",admitiendo,admitting,admitido,admitted
admitir,"to admit, accept, allow, recognize",indicativo,indicative,futuro,future,admitiré,I will admit,admitirás,you will admit,admitirá,he/she will admit,admitiremos,we will admit,admitiréis,you will admit,admitirán,they will admit,admitiendo,admitting,admitido,admitted
admitir,"to admit, accept, allow, recognize",indicativo,indicative,imperfecto,imperfect,admitía,"I was admitting, used to admit, admitted",admitías,"you were admitting, used to admit, admitted",admitía,"he/she was admitting, used to admit, admitted",admitíamos,"we were admitting, used to admit, admitted",admitíais,"you were admitting, used to admit, admitted",admitían,"they were admitting, used to admit, admitted",admitiendo,admitting,admitido,admitted
admitir,"to admit, accept, allow, recognize",indicativo,indicative,pretérito,preterite,admití,I admitted,admitiste,you admitted,admitió,he/she admitted,admitimos,we admitted,admitisteis,you admitted,admitieron,they admitted,admitiendo,admitting,admitido,admitted
admitir,"to admit, accept, allow, recognize",indicativo,indicative,condicional,conditional,admitiría,I would admit,admitirías,you would admit,admitiría,he/she would admit,admitiríamos,we would admit,admitiríais,you would admit,admitirían,they would admit,admitiendo,admitting,admitido,admitted
admitir,"to admit, accept, allow, recognize",indicativo,indicative,presente perfecto,present perfect,he admitido,I have admitted,has admitido,you have admitted,ha admitido,he/she has admitted,hemos admitido,we have admitted,habéis admitido,you have admitted,han admitido,they have admitted,admitiendo,admitting,admitido,admitted
admitir,"to admit, accept, allow, recognize",indicativo,indicative,futuro perfecto,future perfect,habré admitido,I will have admitted,habrás admitido,you will have admitted,habrá admitido,he/she will has admitted,habremos admitido,we will have admitted,habréis admitido,you will have admitted,habrán admitido,they will have admitted,admitiendo,admitting,admitido,admitted
admitir,"to admit, accept, allow, recognize",indicativo,indicative,pluscuamperfecto,past perfect,había admitido,I had admitted,habías admitido,you had admitted,había admitido,he/she had admitted,habíamos admitido,we had admitted,habíais admitido,you had admitted,habían admitido,they had admitted,admitiendo,admitting,admitido,admitted
admitir,"to admit, accept, allow, recognize",indicativo,indicative,pretérito anterior,preterite (archaic),hube admitido,I had admitted,hubiste admitido,you had admitted,hubo admitido,he/she had admitted,hubimos admitido,we had admitted,hubisteis admitido,you had admitted,hubieron admitido,they had admitted,admitiendo,admitting,admitido,admitted
admitir,"to admit, accept, allow, recognize",indicativo,indicative,condicional perfecto,conditional perfect,habría admitido,I would have admitted,habrías admitido,you would have admitted,habría admitido,he/she would has admitted,habríamos admitido,we would have admitted,habríais admitido,you would have admitted,habrían admitido,they would have admitted,admitiendo,admitting,admitido,admitted
admitir,"to admit, accept, allow, recognize",subjuntivo,subjunctive,presente,present,admita,"I admit, am admitting",admitas,"you admit, are admitting",admita,"he/she admit, is admitting",admitamos,"we admit, are admitting",admitáis,"you admit, are admitting",admitan,"they admit, are admitting",admitiendo,admitting,admitido,admitted
admitir,"to admit, accept, allow, recognize",subjuntivo,subjunctive,imperfecto,imperfect,admitiera,"I admitted, was admitting",admitieras,"you admitted, were admitting",admitiera,"he/she admitted, was admitting",admitiéramos,"we admitted, were admitting",admitierais,"you admitted, were admitting",admitieran,"they admitted, were admitting",admitiendo,admitting,admitido,admitted
admitir,"to admit, accept, allow, recognize",subjuntivo,subjunctive,futuro,future,admitiere,I will admit,admitieres,you will admit,admitiere,he/she will admit,admitiéremos,we will admit,admitiereis,you will admit,admitieren,they will admit,admitiendo,admitting,admitido,admitted
admitir,"to admit, accept, allow, recognize",subjuntivo,subjunctive,presente perfecto,present perfect,haya admitido,"I have admitted, admitted",hayas admitido,"you have admitted, admitted",haya admitido,"he/she has admitted, admitted",hayamos admitido,"we have admitted, admitted",hayáis admitido,"you have admitted, admitted",hayan admitido,"they have admitted, admitted",admitiendo,admitting,admitido,admitted
admitir,"to admit, accept, allow, recognize",subjuntivo,subjunctive,futuro perfecto,future perfect,hubiere admitido,I will have admitted,hubieres admitido,you will have admitted,hubiere admitido,he/she will has admitted,hubiéremos admitido,we will have admitted,hubiereis admitido,you will have admitted,hubieren admitido,they will have admitted,admitiendo,admitting,admitido,admitted
admitir,"to admit, accept, allow, recognize",subjuntivo,subjunctive,pluscuamperfecto,past perfect,hubiera admitido,I had admitted,hubieras admitido,you had admitted,hubiera admitido,he/she had admitted,hubiéramos admitido,we had admitted,hubierais admitido,you had admitted,hubieran admitido,they had admitted,admitiendo,admitting,admitido,admitted
admitir,"to admit, accept, allow, recognize",imperativo_afirmativo,imperative_affirmative,presente,present,,,admite,Admit!,admitid,,,,admita,,admitan,,admitiendo,admitting,admitido,admitted
admitir,"to admit, accept, allow, recognize",imperativo_negativo,imperative_negative,presente,present,,,no admitas,Don't admit!,no admitáis,,,,no admita,,no admitan,,admitiendo,admitting,admitido,admitted
adorar,"to adore, worship",indicativo,indicative,presente,present,adoro,"I adore, am adoring",adoras,"you adore, are adoring",adora,"he/she adore, is adoring",adoramos,"we adore, are adoring",adoráis,"you adore, are adoring",adoran,"they adore, are adoring",adorando,adoring,adorado,adored
adorar,"to adore, worship",indicativo,indicative,futuro,future,adoraré,I will adore,adorarás,you will adore,adorará,he/she will adore,adoraremos,we will adore,adoraréis,you will adore,adorarán,they will adore,adorando,adoring,adorado,adored
adorar,"to adore, worship",indicativo,indicative,imperfecto,imperfect,adoraba,"I was adoring, used to adore, adored",adorabas,"you were adoring, used to adore, adored",adoraba,"he/she was adoring, used to adore, adored",adorábamos,"we were adoring, used to adore, adored",adorabais,"you were adoring, used to adore, adored",adoraban,"they were adoring, used to adore, adored",adorando,adoring,adorado,adored
adorar,"to adore, worship",indicativo,indicative,pretérito,preterite,adoré,I adored,adoraste,you adored,adoró,he/she adored,adoramos,we adored,adorasteis,you adored,adoraron,they adored,adorando,adoring,adorado,adored
adorar,"to adore, worship",indicativo,indicative,condicional,conditional,adoraría,I would adore,adorarías,you would adore,adoraría,he/she would adore,adoraríamos,we would adore,adoraríais,you would adore,adorarían,they would adore,adorando,adoring,adorado,adored
adorar,"to adore, worship",indicativo,indicative,presente perfecto,present perfect,he adorado,I have adored,has adorado,you have adored,ha adorado,he/she has adored,hemos adorado,we have adored,habéis adorado,you have adored,han adorado,they have adored,adorando,adoring,adorado,adored
adorar,"to adore, worship",indicativo,indicative,futuro perfecto,future perfect,habré adorado,I will have adored,habrás adorado,you will have adored,habrá adorado,he/she will has adored,habremos adorado,we will have adored,habréis adorado,you will have adored,habrán adorado,they will have adored,adorando,adoring,adorado,adored
adorar,"to adore, worship",indicativo,indicative,pluscuamperfecto,past perfect,había adorado,I had adored,habías adorado,you had adored,había adorado,he/she had adored,habíamos adorado,we had adored,habíais adorado,you had adored,habían adorado,they had adored,adorando,adoring,adorado,adored
adorar,"to adore, worship",indicativo,indicative,pretérito anterior,preterite (archaic),hube adorado,I had adored,hubiste adorado,you had adored,hubo adorado,he/she had adored,hubimos adorado,we had adored,hubisteis adorado,you had adored,hubieron adorado,they had adored,adorando,adoring,adorado,adored
adorar,"to adore, worship",indicativo,indicative,condicional perfecto,conditional perfect,habría adorado,I would have adored,habrías adorado,you would have adored,habría adorado,he/she would has adored,habríamos adorado,we would have adored,habríais adorado,you would have adored,habrían adorado,they would have adored,adorando,adoring,adorado,adored
adorar,"to adore, worship",subjuntivo,subjunctive,presente,present,adore,"I adore, am adoring",adores,"you adore, are adoring",adore,"he/she adore, is adoring",adoremos,"we adore, are adoring",adoréis,"you adore, are adoring",adoren,"they adore, are adoring",adorando,adoring,adorado,adored
adorar,"to adore, worship",subjuntivo,subjunctive,imperfecto,imperfect,adorara,"I adored, was adoring",adoraras,"you adored, were adoring",adorara,"he/she adored, was adoring",adoráramos,"we adored, were adoring",adorarais,"you adored, were adoring",adoraran,"they adored, were adoring",adorando,adoring,adorado,adored
adorar,"to adore, worship",subjuntivo,subjunctive,futuro,future,adorare,I will adore,adorares,you will adore,adorare,he/she will adore,adoráremos,we will adore,adorareis,you will adore,adoraren,they will adore,adorando,adoring,adorado,adored
adorar,"to adore, worship",subjuntivo,subjunctive,presente perfecto,present perfect,haya adorado,"I have adored, adored",hayas adorado,"you have adored, adored",haya adorado,"he/she has adored, adored",hayamos adorado,"we have adored, adored",hayáis adorado,"you have adored, adored",hayan adorado,"they have adored, adored",adorando,adoring,adorado,adored
adorar,"to adore, worship",subjuntivo,subjunctive,futuro perfecto,future perfect,hubiere adorado,I will have adored,hubieres adorado,you will have adored,hubiere adorado,he/she will has adored,hubiéremos adorado,we will have adored,hubiereis adorado,you will have adored,hubieren adorado,they will have adored,adorando,adoring,adorado,adored
adorar,"to adore, worship",subjuntivo,subjunctive,pluscuamperfecto,past perfect,hubiera adorado,I had adored,hubieras adorado,you had adored,hubiera adorado,he/she had adored,hubiéramos adorado,we had adored,hubierais adorado,you had adored,hubieran adorado,they had adored,adorando,adoring,adorado,adored
adorar,"to adore, worship",imperativo_afirmativo,imperative_affirmative,presente,present,,,adora,Adore!,adorad,,,,adore,,adoren,,adorando,adoring,adorado,adored
adorar,"to adore, worship",imperativo_negativo,imperative_negative,presente,present,,,no adores,Don't adore!,no adoréis,,,,no adore,,no adoren,,adorando,adoring,adorado,adored
adornar,"to adorn; to decorate, embellish; to garnish [food]",indicativo,indicative,presente,present,adorno,"I adorn, am adorning",adornas,"you adorn, are adorning",adorna,"he/she adorn, is adorning",adornamos,"we adorn, are adorning",adornáis,"you adorn, are adorning",adornan,"they adorn, are adorning",adornando,adorning,adornado,adorned
adornar,"to adorn; to decorate, embellish; to garnish [food]",indicativo,indicative,futuro,future,adornaré,I will adorn,adornarás,you will adorn,adornará,he/she will adorn,adornaremos,we will adorn,adornaréis,you will adorn,adornarán,they will adorn,adornando,adorning,adornado,adorned
adornar,"to adorn; to decorate, embellish; to garnish [food]",indicativo,indicative,imperfecto,imperfect,adornaba,"I was adorning, used to adorn, adorned",adornabas,"you were adorning, used to adorn, adorned",adornaba,"he/she was adorning, used to adorn, adorned",adornábamos,"we were adorning, used to adorn, adorned",adornabais,"you were adorning, used to adorn, adorned",adornaban,"they were adorning, used to adorn, adorned",adornando,adorning,adornado,adorned
adornar,"to adorn; to decorate, embellish; to garnish [food]",indicativo,indicative,pretérito,preterite,adorné,I adorned,adornaste,you adorned,adornó,he/she adorned,adornamos,we adorned,adornasteis,you adorned,adornaron,they adorned,adornando,adorning,adornado,adorned
adornar,"to adorn; to decorate, embellish; to garnish [food]",indicativo,indicative,condicional,conditional,adornaría,I would adorn,adornarías,you would adorn,adornaría,he/she would adorn,adornaríamos,we would adorn,adornaríais,you would adorn,adornarían,they would adorn,adornando,adorning,adornado,adorned
adornar,"to adorn; to decorate, embellish; to garnish [food]",indicativo,indicative,presente perfecto,present perfect,he adornado,I have adorned,has adornado,you have adorned,ha adornado,he/she has adorned,hemos adornado,we have adorned,habéis adornado,you have adorned,han adornado,they have adorned,adornando,adorning,adornado,adorned
adornar,"to adorn; to decorate, embellish; to garnish [food]",indicativo,indicative,futuro perfecto,future perfect,habré adornado,I will have adorned,habrás adornado,you will have adorned,habrá adornado,he/she will has adorned,habremos adornado,we will have adorned,habréis adornado,you will have adorned,habrán adornado,they will have adorned,adornando,adorning,adornado,adorned
adornar,"to adorn; to decorate, embellish; to garnish [food]",indicativo,indicative,pluscuamperfecto,past perfect,había adornado,I had adorned,habías adornado,you had adorned,había adornado,he/she had adorned,habíamos adornado,we had adorned,habíais adornado,you had adorned,habían adornado,they had adorned,adornando,adorning,adornado,adorned
adornar,"to adorn; to decorate, embellish; to garnish [food]",indicativo,indicative,pretérito anterior,preterite (archaic),hube adornado,I had adorned,hubiste adornado,you had adorned,hubo adornado,he/she had adorned,hubimos adornado,we had adorned,hubisteis adornado,you had adorned,hubieron adornado,they had adorned,adornando,adorning,adornado,adorned
adornar,"to adorn; to decorate, embellish; to garnish [food]",indicativo,indicative,condicional perfecto,conditional perfect,habría adornado,I would have adorned,habrías adornado,you would have adorned,habría adornado,he/she would has adorned,habríamos adornado,we would have adorned,habríais adornado,you would have adorned,habrían adornado,they would have adorned,adornando,adorning,adornado,adorned
adornar,"to adorn; to decorate, embellish; to garnish [food]",subjuntivo,subjunctive,presente,present,adorne,"I adorn, am adorning",adornes,"you adorn, are adorning",adorne,"he/she adorn, is adorning",adornemos,"we adorn, are adorning",adornéis,"you adorn, are adorning",adornen,"they adorn, are adorning",adornando,adorning,adornado,adorned
adornar,"to adorn; to decorate, embellish; to garnish [food]",subjuntivo,subjunctive,imperfecto,imperfect,adornara,"I adorned, was adorning",adornaras,"you adorned, were adorning",adornara,"he/she adorned, was adorning",adornáramos,"we adorned, were adorning",adornarais,"you adorned, were adorning",adornaran,"they adorned, were adorning",adornando,adorning,adornado,adorned
adornar,"to adorn; to decorate, embellish; to garnish [food]",subjuntivo,subjunctive,futuro,future,adornare,I will adorn,adornares,you will adorn,adornare,he/she will adorn,adornáremos,we will adorn,adornareis,you will adorn,adornaren,they will adorn,adornando,adorning,adornado,adorned
adornar,"to adorn; to decorate, embellish; to garnish [food]",subjuntivo,subjunctive,presente perfecto,present perfect,haya adornado,"I have adorned, adorned",hayas adornado,"you have adorned, adorned",haya adornado,"he/she has adorned, adorned",hayamos adornado,"we have adorned, adorned",hayáis adornado,"you have adorned, adorned",hayan adornado,"they have adorned, adorned",adornando,adorning,adornado,adorned
adornar,"to adorn; to decorate, embellish; to garnish [food]",subjuntivo,subjunctive,futuro perfecto,future perfect,hubiere adornado,I will have adorned,hubieres adornado,you will have adorned,hubiere adornado,he/she will has adorned,hubiéremos adornado,we will have adorned,hubiereis adornado,you will have adorned,hubieren adornado,they will have adorned,adornando,adorning,adornado,adorned
adornar,"to adorn; to decorate, embellish; to garnish [food]",subjuntivo,subjunctive,pluscuamperfecto,past perfect,hubiera adornado,I had adorned,hubieras adornado,you had adorned,hubiera adornado,he/she had adorned,hubiéramos adornado,we had adorned,hubierais adornado,you had adorned,hubieran adornado,they had adorned,adornando,adorning,adornado,adorned
adornar,"to adorn; to decorate, embellish; to garnish [food]",imperativo_afirmativo,imperative_affirmative,presente,present,,,adorna,Adorn!,adornad,,,,adorne,,adornen,,adornando,adorning,adornado,adorned
adornar,"to adorn; to decorate, embellish; to garnish [food]",imperativo_negativo,imperative_negative,presente,present,,,no adornes,Don't adorn!,no adornéis,,,,no adorne,,no adornen,,adornando,adorning,adornado,adorned
advertir,"to notice, observe, advise, warn",indicativo,indicative,presente,present,advierto,"I notice, am noticing",adviertes,"you notice, are noticing",advierte,"he/she notice, is noticing",advertimos,"we notice, are noticing",advertís,"you notice, are noticing",advierten,"they notice, are noticing",advirtiendo,noticing,advertido,noticed
advertir,"to notice, observe, advise, warn",indicativo,indicative,futuro,future,advertiré,I will notice,advertirás,you will notice,advertirá,he/she will notice,advertiremos,we will notice,advertiréis,you will notice,advertirán,they will notice,advirtiendo,noticing,advertido,noticed
advertir,"to notice, observe, advise, warn",indicativo,indicative,imperfecto,imperfect,advertía,"I was noticing, used to notice, noticed",advertías,"you were noticing, used to notice, noticed",advertía,"he/she was noticing, used to notice, noticed",advertíamos,"we were noticing, used to notice, noticed",advertíais,"you were noticing, used to notice, noticed",advertían,"they were noticing, used to notice, noticed",advirtiendo,noticing,advertido,noticed
advertir,"to notice, observe, advise, warn",indicativo,indicative,pretérito,preterite,advertí,I noticed,advertiste,you noticed,advirtió,he/she noticed,advertimos,we noticed,advertisteis,you noticed,advirtieron,they noticed,advirtiendo,noticing,advertido,noticed
advertir,"to notice, observe, advise, warn",indicativo,indicative,condicional,conditional,advertiría,I would notice,advertirías,you would notice,advertiría,he/she would notice,advertiríamos,we would notice,advertiríais,you would notice,advertirían,they would notice,advirtiendo,noticing,advertido,noticed
advertir,"to notice, observe, advise, warn",indicativo,indicative,presente perfecto,present perfect,he advertido,I have noticed,has advertido,you have noticed,ha advertido,he/she has noticed,hemos advertido,we have noticed,habéis advertido,you have noticed,han advertido,they have noticed,advirtiendo,noticing,advertido,noticed
advertir,"to notice, observe, advise, warn",indicativo,indicative,futuro perfecto,future perfect,habré advertido,I will have noticed,habrás advertido,you will have noticed,habrá advertido,he/she will has noticed,habremos advertido,we will have noticed,habréis advertido,you will have noticed,habrán advertido,they will have noticed,advirtiendo,noticing,advertido,noticed
afirmar,"to make firm, steady, strengthen; to affirm, state, assert",indicativo,indicative,futuro,future,afirmaré,I will make firm,afirmarás,you will make firm,afirmará,he/she will make firm,afirmaremos,we will make firm,afirmaréis,you will make firm,afirmarán,they will make firm,afirmando,making firm,afirmado,made firm
advertir,"to notice, observe, advise, warn",indicativo,indicative,pluscuamperfecto,past perfect,había advertido,I had noticed,habías advertido,you had noticed,había advertido,he/she had noticed,habíamos advertido,we had noticed,habíais advertido,you had noticed,habían advertido,they had noticed,advirtiendo,noticing,advertido,noticed
advertir,"to notice, observe, advise, warn",indicativo,indicative,pretérito anterior,preterite (archaic),hube advertido,I had noticed,hubiste advertido,you had noticed,hubo advertido,he/she had noticed,hubimos advertido,we had noticed,hubisteis advertido,you had noticed,hubieron advertido,they had noticed,advirtiendo,noticing,advertido,noticed
advertir,"to notice, observe, advise, warn",indicativo,indicative,condicional perfecto,conditional perfect,habría advertido,I would have noticed,habrías advertido,you would have noticed,habría advertido,he/she would has noticed,habríamos advertido,we would have noticed,habríais advertido,you would have noticed,habrían advertido,they would have noticed,advirtiendo,noticing,advertido,noticed
advertir,"to notice, observe, advise, warn",subjuntivo,subjunctive,presente,present,advierta,"I notice, am noticing",adviertas,"you notice, are noticing",advierta,"he/she notice, is noticing",advirtamos,"we notice, are noticing",advirtáis,"you notice, are noticing",adviertan,"they notice, are noticing",advirtiendo,noticing,advertido,noticed
advertir,"to notice, observe, advise, warn",subjuntivo,subjunctive,imperfecto,imperfect,advirtiera,"I noticed, was noticing",advirtieras,"you noticed, were noticing",advirtiera,"he/she noticed, was noticing",advirtiéramos,"we noticed, were noticing",advirtierais,"you noticed, were noticing",advirtieran,"they noticed, were noticing",advirtiendo,noticing,advertido,noticed
advertir,"to notice, observe, advise, warn",subjuntivo,subjunctive,futuro,future,advirtiere,I will notice,advirtieres,you will notice,advirtiere,he/she will notice,advirtiéremos,we will notice,advirtiereis,you will notice,advirtieren,they will notice,advirtiendo,noticing,advertido,noticed
advertir,"to notice, observe, advise, warn",subjuntivo,subjunctive,presente perfecto,present perfect,haya advertido,"I have noticed, noticed",hayas advertido,"you have noticed, noticed",haya advertido,"he/she has noticed, noticed",hayamos advertido,"we have noticed, noticed",hayáis advertido,"you have noticed, noticed",hayan advertido,"they have noticed, noticed",advirtiendo,noticing,advertido,noticed
advertir,"to notice, observe, advise, warn",subjuntivo,subjunctive,futuro perfecto,future perfect,hubiere advertido,I will have noticed,hubieres advertido,you will have noticed,hubiere advertido,he/she will has noticed,hubiéremos advertido,we will have noticed,hubiereis advertido,you will have noticed,hubieren advertido,they will have noticed,advirtiendo,noticing,advertido,noticed
advertir,"to notice, observe, advise, warn",subjuntivo,subjunctive,pluscuamperfecto,past perfect,hubiera advertido,I had noticed,hubieras advertido,you had noticed,hubiera advertido,he/she had noticed,hubiéramos advertido,we had noticed,hubierais advertido,you had noticed,hubieran advertido,they had noticed,advirtiendo,noticing,advertido,noticed
advertir,"to notice, observe, advise, warn",imperativo_afirmativo,imperative_affirmative,presente,present,,,advierte,Notice!,advertid,,,,advierta,,adviertan,,advirtiendo,noticing,advertido,noticed
advertir,"to notice, observe, advise, warn",imperativo_negativo,imperative_negative,presente,present,,,no adviertas,Don't notice!,no advirtáis,,,,no advierta,,no adviertan,,advirtiendo,noticing,advertido,noticed
afeitar,to shave,indicativo,indicative,presente,present,afeito,"I shave, am shaving",afeitas,"you shave, are shaving",afeita,"he/she shas, is shaving",afeitamos,"we shave, are shaving",afeitáis,"you shave, are shaving",afeitan,"they shave, are shaving",afeitando,shaving,afeitado,shaved
afeitar,to shave,indicativo,indicative,futuro,future,afeitaré,I will shave,afeitarás,you will shave,afeitará,he/she will shas,afeitaremos,we will shave,afeitaréis,you will shave,afeitarán,they will shave,afeitando,shaving,afeitado,shaved
afeitar,to shave,indicativo,indicative,imperfecto,imperfect,afeitaba,"I was shaving, used to shave, shaved",afeitabas,"you were shaving, used to shave, shaved",afeitaba,"he/she was shaving, used to shas, shasd",afeitábamos,"we were shaving, used to shave, shaved",afeitabais,"you were shaving, used to shave, shaved",afeitaban,"they were shaving, used to shave, shaved",afeitando,shaving,afeitado,shaved
afeitar,to shave,indicativo,indicative,pretérito,preterite,afeité,I shaved,afeitaste,you shaved,afeitó,he/she shasd,afeitamos,we shaved,afeitasteis,you shaved,afeitaron,they shaved,afeitando,shaving,afeitado,shaved
afeitar,to shave,indicativo,indicative,condicional,conditional,afeitaría,I would shave,afeitarías,you would shave,afeitaría,he/she would shas,afeitaríamos,we would shave,afeitaríais,you would shave,afeitarían,they would shave,afeitando,shaving,afeitado,shaved
afeitar,to shave,indicativo,indicative,presente perfecto,present perfect,he afeitado,I have shaved,has afeitado,you have shaved,ha afeitado,he/she has shasd,hemos afeitado,we have shaved,habéis afeitado,you have shaved,han afeitado,they have shaved,afeitando,shaving,afeitado,shaved
afeitar,to shave,indicativo,indicative,futuro perfecto,future perfect,habré afeitado,I will have shaved,habrás afeitado,you will have shaved,habrá afeitado,he/she will has shasd,habremos afeitado,we will have shaved,habréis afeitado,you will have shaved,habrán afeitado,they will have shaved,afeitando,shaving,afeitado,shaved
afeitar,to shave,indicativo,indicative,pluscuamperfecto,past perfect,había afeitado,I had shaved,habías afeitado,you had shaved,había afeitado,he/she had shasd,habíamos afeitado,we had shaved,habíais afeitado,you had shaved,habían afeitado,they had shaved,afeitando,shaving,afeitado,shaved
afeitar,to shave,indicativo,indicative,pretérito anterior,preterite (archaic),hube afeitado,I had shaved,hubiste afeitado,you had shaved,hubo afeitado,he/she had shasd,hubimos afeitado,we had shaved,hubisteis afeitado,you had shaved,hubieron afeitado,they had shaved,afeitando,shaving,afeitado,shaved
